,lead_paragraph,headline,uplifting
224,"Queen Elizabeth's annual honors list, announced at midnight on the last day of each year to recognize distinguished service to Great Britain, includes a knighthood for the actor Patrick Stewart, better known to devotees of ""Star Trek: The Next Generation"" as Capt. Jean-Luc Picard and fans of the ""X-Men"" movie series as Professor Charles Xavier. The artistic theater director of the National Theater in London, Nicholas Hytner, whose productions include ""The Madness of King George"" and the musical ""Miss Saigon,"" was similarly honored.",Royal Honors for Patrick Stewart and Marian McPartland,0
225,"It ended, as it all began, in a rush of light. But even the brilliance of its mirrored corridors, twinkling trees and shimmering heirloom chandeliers could not avert the bankruptcy blackout of Tavern on the Green.",Ringing Out Tavern on the Green,0
226,Tommy Tuberville coached at Texas A&M for one season and recruited the Houston and Dallas areas for the University of Miami when the Hurricanes were a national powerhouse. He knows the landscape around Texas high school football and has interest in the Texas Tech job.,Tuberville Interested in Texas Tech Job,0
227,"Pittsburgh's mayor recently stood down on his proposal to impose a ""Fair Share Tax"" on the tuition of college students, instead persuading local institutions to increase their voluntary contributions to the city.","College Gives Town $250,000 for a Fire Truck",0
229,"""I have something I want to talk to you about,"" Jonelle Patrick's father said partway through a visit to her home in San Francisco. He put a box on the kitchen table.",Overlooking the Frail Years,0
230,A colleague at Diner's Journal chronicled a New Year's Eve celebration marked by more than a few tears for the landmark restaurant in Central Park.,A Last Hurrah for Tavern on the Green,0
231,The N.F.L. can do very little to ensure that teams try their best (instead of resting starters) late in the season.,Did N.F.L. Choose Ratings Over Integrity in Moving Jets-Bengals Game?,0
232,"Deepening the mystery over the theft of a valuable painting by the 19th-century French artist Edgar Degas, police in Marseille on Friday released a night watchman, detained for questioning the day before, who was on duty when the work vanished from the Cantini Museum there. ""The Chorus,"" a small pastel valued at $1.1 million that shows male singers performing on a theater stage, was missing when the museum opened on Thursday, and there was no sign of a break-in. The painting was one of approximately 20 Degas works on loan from the Musée d'Orsay in Paris as part of an exhibition of paintings with theatrical themes that was scheduled to close on Jan. 3 and to travel later this year to Italy and Canada.",Watchman Released in Degas Theft Inquiry,0
233,Two newspapers in one!*,The Homeland Secretary's Job Security,0
234,"The first day of the new year just gives that desire to look back a little, and look ahead a lot. In Formula One, Autosport.com has been looking back a lot like most media not only at the last year, but the decade. Check out their lists. The top stories of the year reveal just how well bad news sells! Top story? Flavio Briatore and Pat Symonds leave Renault. This edges out the good news of Michael Schumacher returning. And all the other scandals of the year are also on that list. No wonder Formula One gets good media coverage. Keep up the bad stories. Any guesses on what could possibly make the grade in the bad news department of 2010?","Looking Forward, Looking Back",0
235,"Poland officially began commemorations of the bicentennial of the birth of its most celebrated composer, Frederic Chopin, on Friday with a ceremony at his birthplace, Zelazowa Wola, about 50 miles west of Warsaw, and a concert in the capital featuring the Warsaw Philharmonic Orchestra. More than 2,000 events, nearly half of them to be held outside Poland, are planned during the bicentennial, including films, jazz performances, exhibitions and the 16th annual Chopin International Competition. Warsaw will also host a Chopin festival that begins this week with a performance by the Chinese pianist Lang Lang; Daniel Barenboim and Martha Argerich will be featured performers later in the year.",Chopin Bicentennial Celebrations Begin,0
236,"Here is a slide show of photographs from the past week in New York City. Subjects include a beer cave, Shinnecock Indians and New Year's Eve in New York City.","The Week in Pictures for Jan. 1, 2010",0
237,BAGHDAD--It is definitely not a good start to the day and the year when the first item on the news headlines is about Blackwater. As I left home this morning I turned ito the radio to hear what the first headlines of 2010 would be. The first bulletin was that charges had been dismissed against five Blackwater guards for killing 17 Iraqis in the Nisour Square shooting of 2007.,"Happy New Year, for Blackwater",0
238,"Vic DeLuca was officially appointed Maplewood's mayor and Kathleen Leventhal and Gerard Ryan were sworn in as township committee members for 2010 in a noon, New-Year's-Day reorganization meeting at Town Hall.",Reorganization Meeting Addresses Budget Woes,0
239,"If we forget about the controversy surrounding each of these programs over the past 30 days -- Brian Kelly leaving for Notre Dame, Urban Meyer's health scare and ongoing coaching future -- this game is as exciting as any bowl this season. On one hand, you have the Big East champion Bearcats, who sport one of the most prolific, exciting offenses in the country. Cincinnati's rapid ascension from F.B.S. afterthought to Big East power has been one of the best stories of this decade. Florida is running low after a loss to Alabama in the SEC championship, which prevented the Gators from playing for yet another national championship, but the Gators are clearly one of the best teams in the country. Of course, this is the final collegiate game for quarterback Tim Tebow, who we will all miss -- whether you want to admit it or not. It may be difficult for both teams to forget about the off-field news, but if we're lucky, once this game gets underway we will see two of the top teams in the nation.",Sugar Bowl: No. 3 Cincinnati (12-0) vs. No. 5 Florida (12-1),0
240,"Rush Limbaugh said Friday that doctors found nothing wrong with his heart or arteries, but that the cause of chest pains that sent him to a hospital in Hawaii on Wednesday was unknown.",Rush Limbaugh Released From Hospital,0
241,"The Metropolitan Opera's new production of Offenbach's ""Contes d'Hoffmann"" stirred up heated debate within opera circles for the company's decision to present a version of the score that fails to take into account recent research into the sources for this compromised score, left incomplete at Offenbach's death. The new production of Bizet's ""Carmen"" may also provoke some debate over questions of authenticity.",Carmen' Question: To Speak or Sing?,0
242,This week: Katie Roiphe on sex and the American male novelist; Lorraine Adams on post-colonial African fiction; Motoko Rich with notes from the field; and Jennifer Schuessler with best-seller news. Sam Tanenhaus is the host.,Book Review Podcast: Sex and the Male Novelist,0
243,"PASADENA, Calif. - It has been a trying season for Ohio State quarterback Terrelle Pryor.",Pryor Takes Advice From James,0
244,"2010 began well for at least one member of the Paris Opera Ballet. At the end of the company's New Year's Eve performance of Rudolf Nureyev's ""Nutcracker,"" the principal dancer Karl Paquette learned that he had been promoted to the exalted status of ""étoile,"" or star. The title is the only one at the Paris Opera Ballet that is not earned through the grueling annual competition. It is bestowed by the director of the Opera, Nicolas Joel, at the request of the ballet company's director Brigitte Lefèvre, and it remains elusive for many. Mr. Paquette, 33, who joined the company in 1994, is both a sterling technician and an excellent partner, with an ability to step in to roles at the last minute.",Karl Paquette Is Given Star Status at Paris Opera Ballet,0
