,lead_paragraph,headline,uplifting
354,"WASHINGTON -- A virus is sweeping Asia. The symptoms are heightened xenophobia and amnesia about fundamental refugee rights. Australia and Indonesia succumbed first, in October, when they stopped boats carrying Sri Lankans. Neither country would allow the Sri Lankans to disembark even though they came from a country experiencing massive violence and displacement. Almost three months later, one of the boats, holding more than 250 Sri Lankans, remains moored in the West Javan port of Merak. Cambodia was next to catch the fever. A small group of Uighur men, women and children fleeing the aftermath of the worst ethnic violence in decades in China sought asylum in Cambodia. The United Nations High Commissioner for Refugees issued ''persons of concern'' letters on their behalf and moved them into a facility it managed jointly with the Cambodian government. But Cambodia forcibly returned 20 Uighurs on Dec. 19, despite the protests of the U.N. agency, the diplomatic corps and human rights groups. They have not been heard from since.",Refugees Are Not Bargaining Chips,0
355,"Singapore's economy is improving after a volatile year in which it shrank for the first time since 2001, Prime Minister Lee Hsien Loong, left, says. Gross domestic product fell 2.1 percent in 2009, Mr. Lee said in his New Year message on Thursday. The figure was in line with the government estimate for a contraction of 2 to 2.5 percent. The trade ministry forecasts that the economy will expand 3 to 5 percent in 2010, an estimate reiterated by Mr. Lee. Singapore joined other Asian nations in emerging from a global economic slump last year after the region's governments unveiled about $1 trillion in stimulus measures to spur growth. Still, a sluggish recovery in overseas demand for goods could moderate growth prospects in the coming months, the government said in November. The economy grew 3.5 percent in the fourth quarter from a year earlier, Mr. Lee said. That compares with the 3.8 percent median forecast of nine economists surveyed by Bloomberg News.",Singapore Says Its Economy Is Set To Grow This Year,1
356,"LING--Dalthel ""Moy"", was born September 18, 1930 in Kingstom, Jamaica. Ms. Dalthel Ling--more affectionately known as ""Aunt Moy"" to her family--died due to renal failure on Christmas afternoon much like her only daughter who had succumb to cancer Christmas 1997. Ms. Ling was a proud member of a rare ethnic subset, Chinese-Jamaican. Her love of her family was matched only by her love of world. She'd set foot on every continent in her lifetime, took a Safari in her 60s and even found her way to an Amsterdam cafe in her 70s. Ms. Ling was described as the family's matriarch, often the patron saint of lodging, and its businesswoman whose business often seemed to be the family itself. She is survived by her grandson, Collin Hunt, 29, granddaughter Julian Hunt, 27, and several cousins, nieces, nephews, extended relatives and dear friends. Friends may call Sunday, 5-8pm, January 3, 2010 at Frank E. Campbell, 1076 Madison Ave at 81st St. Service Monday, 9:30am January 4 at Frank E. Campbell. In lieu of flowers, donations will be accepted for: The Denice Johnson Hunt Endowed Fund UW Foundation, Box 359505, Seattle, WA 98195-9505.","Paid Notice: Deaths  LING, DALTHEL ""MOY""",0
357,"Nate Robinson was on the court again Friday night, driving, dishing, occasionally bouncing and hooting if the mood struck. Whatever his transgressions were in December, they faded in the light of the new year. Benched for 14 games, Robinson reclaimed his role and his special swagger, scoring 41 points to lead the Knicks in a 112-108 overtime victory against the Atlanta Hawks. The Knicks enjoyed it to the hilt, bursting onto the court at every timeout to help Robinson celebrate his return.",Robinson Return Is Electric For Knicks,0
358,"The Obama administration's $75 billion program to protect homeowners from foreclosure has been widely pronounced a disappointment, and some economists and real estate experts now contend it has done more harm than good. Since President Obama announced the program in February, it has lowered mortgage payments on a trial basis for hundreds of thousands of people but has largely failed to provide permanent relief. Critics increasingly argue that the program, Making Home Affordable, has raised false hopes among people who simply cannot afford their homes.",U.S. Loan Effort Is Seen As Adding To Housing Woes,0
359,"CHOI SUNG-YONG remembers his father as a war hero who became a successful fishing boat captain, a reserved man who helped at orphanages and once splurged to buy his music-loving teenage son a record player, a true luxury at the time.",Serving a Father by Bringing Long-Lost Koreans Home,1
360,"The computer consultant believed to be the only survivor among five British men kidnapped in Iraq more than two and a half years ago flew to a quiet homecoming at a military base outside London on Friday. British officials said the freed man, Peter Moore, 36, would be taken to an undisclosed location for a ''period of decompression'' with his family. He has made no public statements, and the officials said the cocoon thrown around him since his release Wednesday was his own preference and his family's.",Freed Captive Is Reunited With His Family in Britain,1
361,"Iraqis on Friday reacted with disbelief, anger and bitter resignation to news that criminal charges in the United States had been dismissed against Blackwater security guards who opened fire on unarmed Iraqi civilians in 2007 in a fusillade that left 17 dead. ''What are we -- not human?'' asked Abdul Wahab Adul Khader, a 34-year-old bank employee and one of at least 20 people wounded in the melee. ''Why do they have the right to kill people? Is our blood so cheap? For America, the land of justice and law, what does it mean to let criminals go?''",Iraqis Angered at Dropping Of Blackwater Charges,0
362,A surreal mix of piety during the day and partying at night.,Cairo Aglow at Ramadan,1
363,Expats and show-biz types are making over Andheri.,A Mumbai Suburb's Transformation,1
364,"Now that Ohio State and Oregon have finished playing in the Rose Bowl, the grass on the field will be cut down to its nubs and a new field will be rolled out for Alabama and Texas to play on next Thursday in the Bowl Championship Series title game. Darryl Dunn, the Rose Bowl's general manager, said stadium officials considered patching any rough spots in the field after the Rose Bowl game and then repainting new logos in the end zones and at midfield.",The Grass Is Greener,0
365,"It ended as it all began, in a rush of light. But even the brilliance of its mirrored corridors, twinkling trees and shimmering heirloom chandeliers could not avert the bankruptcy blackout of Tavern on the Green. And so there was a last waltz. With formidable revelry and not a few tears, some 1,700 New Year's Eve celebrators paid $125 to $500 a person for the privilege of welcoming 2010 with a last, vast, rollicking hurrah for the landmark restaurant in Central Park.",A Last New Year's Eve Toast for Tavern on the Green,0
366,"At 9:45 on Friday morning, just hours before he was to be sworn in as New York City's comptroller, John C. Liu stood in the front yard of his house in Flushing, Queens. He woke up later than he normally does. In the New Year's Day chill, he wore no coat over his suit. There was no last-minute agonizing about his speech, or worry about the fact that his relatives, who were supposed to pick him up, were running late.","A New Comptroller, Cheered by Asian-Americans Declaring a New Era",0
